Date,Australian Equities,Developed Market Equities,Emerging Market Equities,Australian Listed Property,Hedge Funds,Australian Fixed Interest,Global Fixed Interest,Cash (Bank bills)
29/09/2006,0.01311232,0.018080771,0.01431702,0.038220122,0.00129167,0.008402177,0.007835194,0.005108747
31/10/2006,0.047135789,0.030845183,0.035065456,0.009013275,0.017703244,-0.001852053,0.005963859,0.005064791
30/11/2006,0.023705663,0.011271988,0.065310513,0.052271798,0.020712533,0.007566556,0.009314744,0.005157464
29/12/2006,0.03670533,0.026464931,0.039496584,0.071469681,0.018336988,-0.003035149,-0.00400024,0.005336192
31/01/2007,0.018865865,0.017930804,-0.002856143,0.025655057,0.013284554,0.004678623,0.000393901,0.005483137
28/02/2007,0.016203946,-0.01181402,-0.006811711,-0.006598651,0.0074002,0.011967907,0.013157533,0.004920113
30/03/2007,0.033024537,0.015090187,0.032426649,-0.039248635,0.01235321,-0.002655347,0.000540079,0.005235233
30/04/2007,0.029989026,0.03497548,0.035364104,0.033001931,0.020211911,0.006917762,0.004017721,0.005475045
31/05/2007,0.026426006,0.033718006,0.039135107,0.042322351,0.023084685,0.000486873,-0.00596944,0.005401572
29/06/2007,-0.001131268,-0.009727671,0.046191273,-0.048913874,0.007793895,-0.004504471,-0.002719596,0.005184466
31/07/2007,-0.020418783,-0.030564817,0.048032319,-0.045481794,-4.77384E-05,0.006689796,0.01086024,0.005251969
31/08/2007,0.022216849,-0.000512288,-0.009570523,0.080983222,-0.015300886,0.008580841,0.012799269,0.005307213
28/09/2007,0.055814831,0.02998341,0.083919444,0.021323969,0.027053234,-0.000484659,0.005286886,0.005726315
31/10/2007,0.029420702,0.021432595,0.089531648,-0.00218639,0.031627644,-0.000393439,0.009563074,0.005730106
30/11/2007,-0.0289233,-0.04290045,-0.061613976,-0.062410426,-0.012057289,0.004560959,0.013272893,0.005570632
31/12/2007,-0.026353767,-0.008102177,0.006192697,-0.065759707,0.004654825,-0.001612265,0.003360027,0.006030314
31/01/2008,-0.109970074,-0.084061407,-0.12436644,-0.144238286,-0.014798764,0.012221505,0.018034402,0.0059688
29/02/2008,-0.00666301,-0.017217448,0.061130069,-0.047229575,0.016050538,-0.006160223,0.005994354,0.005413615
31/03/2008,-0.034195726,-0.021286622,-0.042201387,-0.000615398,-0.021093354,0.016030972,0.003046702,0.0066605
30/04/2008,0.045120876,0.061438405,0.072422457,0.042792059,0.005716302,0.000152525,-0.00138885,0.006532195
30/05/2008,0.017103448,0.016000288,0.018515105,-0.086650663,0.019975206,0.001089772,-0.00507684,0.006559153
30/06/2008,-0.075661175,-0.082328213,-0.098784601,-0.102559418,-4.58642E-05,0.002876434,0.000813606,0.006289362
31/07/2008,-0.046946737,-0.018188315,-0.050976398,-0.05213619,-0.026074991,0.017875043,0.011977054,0.006678441
29/08/2008,0.040381012,0.011558676,-0.048369489,0.102511993,-0.014716963,0.021625157,0.01472687,0.006678848
30/09/2008,-0.099392714,-0.107826412,-0.123807283,-0.060210209,-0.065506775,0.012849884,-0.006460999,0.005861301
31/10/2008,-0.128835287,-0.163690868,-0.223147396,-0.240473292,-0.062989105,0.02008008,-0.008069917,0.007143993
28/11/2008,-0.062952638,-0.060735375,-0.039952279,-0.023262812,-0.041458555,0.029602064,0.03045708,0.00544674
31/12/2008,-0.001370572,0.010230776,0.045969189,-0.117013578,-0.000341686,0.012479884,0.025426678,0.004256974
30/01/2009,-0.048398129,-0.070925523,-0.029583707,-0.097229661,0.010937678,0.0140671,-0.006162959,0.004005695
27/02/2009,-0.045598798,-0.089575635,-0.028479122,-0.154927552,-0.008847064,-0.012280591,0.002099945,0.002910092
31/03/2009,0.08069777,0.063599868,0.104609122,-0.006137253,0.006538177,0.001152584,0.010527608,0.002629034
30/04/2009,0.057047612,0.103323783,0.121914782,0.056528858,0.016832354,3.53274E-05,0.006382834,0.002643301
29/05/2009,0.014571351,0.056237872,0.124730653,0.015477963,0.040606599,-0.007194759,0.003845875,0.002514369
30/06/2009,0.039599385,-0.00068041,-0.013586479,0.038284671,0.004297229,-0.006142457,0.011301653,0.00267486
31/07/2009,0.07339224,0.074171173,0.09845206,0.024018369,0.025380711,0.003136366,0.015465094,0.002651018
31/08/2009,0.066386421,0.03722547,0.000480109,0.149502285,0.015266186,0.007164619,0.012632831,0.002530301
30/09/2009,0.062647468,0.030743164,0.062993116,0.094187166,0.030405147,0.007235421,0.010531497,0.002829449
30/10/2009,-0.020710421,-0.022447704,-0.003925976,-0.091577032,0.001263565,-0.000754509,0.004562692,0.002557773
30/11/2009,0.01801739,0.03092493,0.032816246,0.012546701,0.02105758,0.014982147,0.012787834,0.00303544
31/12/2009,0.036887741,0.036930926,0.041775615,0.032210716,0.008821249,-0.003812339,-0.006181507,0.003226107
29/01/2010,-0.061670273,-0.036172919,-0.043940785,-0.027654476,0.00168156,0.013467136,0.013501446,0.003468656
26/02/2010,0.020459434,0.019454957,-0.001686366,0.01367915,0.006810878,0.004960436,0.007645944,0.003452872
31/03/2010,0.057413614,0.065226989,0.062272679,0.000653605,0.02219999,-0.00583291,0.00557548,0.003267918
30/04/2010,-0.013459695,0.002507841,0.001002822,0.039668632,0.012396887,0.005509582,0.008802258,0.003463804
